BEAMS
BinSize:1.25,Temperature:200K,Field:50G,Sample:PbO Powder,Orientation:?,NumBins:8192,NumHists:5,RunNumber:1,Title:200 K 50 G TF long pol
Forw,Back,Up,Down,Righ
35,35,35,35,35
125,125,125,125,125
130,129,130,130,129
8000,8000,8000,8000,8000
126,125,126,126,125
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,5,1,1
1,3,10,8,5
12,1,10,11,6
6,4,17,8,1
5,2,8,15,17
1,2,17,6,4
4,4,10,8,5
8,7,8,14,11
6,8,8,12,10
9,4,14,11,12
9,2,14,12,7
7,2,15,4,6
8,2,8,15,8
3,4,13,10,5
7,2,18,11,6
9,1,13,10,6
6,0,11,7,7
5,3,14,11,6
8,4,13,19,7
9,7,12,11,8
6,5,15,13,8
5,4,12,12,3
4,6,13,13,2
8,6,11,7,5
8,5,13,13,2
6,2,14,16,11
3,3,15,11,7
5,2,15,15,2
9,5,8,16,11
5,1,13,9,6
5,2,7,9,8
6,2,13,8,3
4,3,14,9,9
3,3,9,7,7
4,1,12,4,10
3,1,9,10,4
4,1,25,6,6
7,1,12,15,3
5,3,10,13,9
6,2,7,13,5
9,4,14,11,3
7,3,7,10,7
11,5,5,15,4
7,4,18,12,9
4,2,8,14,7
4,11,17,16,4
8,2,14,13,3
4,2,9,8,11
4,3,15,8,13
7,1,11,9,10
4,3,12,8,10
11,5,9,14,7
7,3,14,5,6
6,1,17,14,11
7,3,15,6,9
4,3,10,10,5
3,3,17,11,5
4,3,13,11,7
9,4,12,19,6
3,4,15,11,10
8,4,13,13,2
5,2,19,7,6
4,0,14,11,12
3,4,13,15,7
4,1,20,15,10
3,6,14,13,11
2,5,11,13,4
9,2,10,9,10
4,6,17,13,5
7,3,8,8,3
6,5,14,13,9
3,5,12,7,4
3,4,10,10,8
5,7,9,11,7
3,6,11,16,7
6,3,12,16,13
4,3,9,12,7
1,3,11,9,3
8,4,11,8,8
12,6,15,14,4
6,6,11,9,5
9,1,16,10,3
4,5,12,15,6
4,3,6,8,8
7,3,11,4,4
5,1,8,5,7
6,4,10,12,6
4,3,20,13,7
12,11,23,26,11
14,108,134,95,125
71,1793,629,1017,919
773,4602,7808,13247,9685
2501,1414,19207,11280,5433
1019,728,3153,1192,740
585,693,1237,1147,598
583,673,1314,1137,665
603,665,1259,1127,600
650,674,1176,1127,653
603,704,1267,1087,621
555,709,1233,1134,625
593,687,1261,1076,592
585,709,1277,1085,706
597,722,1301,1089,659
581,691,1212,1124,600
581,658,1239,1070,679
