BEAMS
BinSize:0.625,Temperature:39.500K,Field:0.000G,Sample:nano-Mn3O4,Orientation:powder,NumBins:16384,NumHists:5,RunNumber:7387,Title:nano-Mn3O4 zero field
Forward,Backward,Up,Down,Right
71,71,71,71,71
264,264,264,264,264
269,261,261,259,261
16384,16384,16384,16384,16384
259,251,251,249,249
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
16,4,26,17,8
24,16,49,17,9
17,18,42,23,8
17,15,29,18,12
15,10,42,17,15
13,14,32,20,9
17,14,46,12,11
18,14,34,27,9
20,23,45,20,14
17,19,34,20,16
25,20,45,22,8
22,13,36,19,13
10,20,27,26,14
10,7,29,20,13
5,21,39,23,15
18,20,37,23,14
10,11,41,23,9
7,16,32,28,12
23,20,49,23,13
11,24,42,30,15
24,15,30,22,9
18,14,32,24,14
20,15,49,22,8
15,11,51,16,11
12,8,36,18,13
14,15,43,15,6
26,18,35,17,19
10,18,42,15,7
18,12,43,21,11
20,14,35,18,14
13,16,28,17,13
9,9,26,19,9
18,8,39,20,20
21,12,39,26,15
9,16,32,21,8
9,15,37,24,10
19,11,40,18,11
19,18,45,21,11
18,13,40,30,5
13,17,51,27,10
21,14,33,22,17
16,18,30,17,12
17,12,35,15,16
18,18,43,19,11
18,15,43,29,8
21,16,38,16,9
19,15,30,24,15
15,19,30,22,7
15,11,38,14,12
20,11,37,24,10
12,16,30,25,16
12,12,36,23,11
19,8,34,19,7
18,13,30,18,12
14,12,44,23,8
13,19,43,23,13
12,20,39,16,5
20,13,38,24,10
12,10,38,21,10
17,15,31,21,13
11,20,38,17,5
20,15,32,8,5
18,14,44,25,11
23,13,44,20,9
14,14,47,15,17
16,10,39,25,12
19,7,34,17,13
18,12,50,22,8
8,20,33,25,6
13,18,40,24,10
15,17,42,28,13
18,7,37,15,14
20,14,41,15,10
24,13,42,23,9
16,15,35,17,11
13,12,42,21,14
13,10,32,29,9
17,8,41,20,7
18,13,40,18,12
18,12,42,29,19
25,15,47,15,9
23,20,32,21,16
17,7,29,20,20
14,14,40,21,9
18,17,40,16,8
20,13,34,21,14
10,14,45,21,10
15,14,39,25,17
11,15,42,19,12
14,14,37,29,11
16,19,36,17,14
17,16,47,19,7
18,18,41,24,11
24,17,37,33,7
16,11,41,19,12
16,12,37,18,12
25,13,41,25,14
20,13,34,20,12
12,13,31,17,14
10,12,37,25,12
17,20,43,22,13
20,14,33,19,11
13,9,36,21,9
23,15,51,18,13
18,8,41,24,10
14,14,39,13,13
20,17,40,17,12
15,19,46,29,9
18,18,35,16,11
13,21,44,27,10
15,17,31,24,12
21,9,37,27,11
17,15,32,19,10
22,15,43,24,17
17,17,35,19,13
22,6,44,20,11
13,11,39,23,15
20,7,46,22,13
22,20,40,18,12
11,11,29,23,12
12,11,38,28,8
15,14,35,18,13
13,10,40,24,8
11,14,33,23,10
11,14,49,19,9
16,15,37,23,12
21,17,50,19,19
12,12,33,18,10
17,11,45,19,13
18,12,33,30,8
19,18,35,19,11
17,13,36,25,9
11,14,35,23,10
19,17,28,15,12
14,14,27,22,14
19,26,49,23,13
14,12,41,28,25
22,17,49,18,15
7,13,24,28,16
20,22,43,21,8
10,14,49,32,12
12,14,38,26,6
15,13,37,23,12
16,11,40,20,14
13,20,38,21,16
22,16,49,22,11
17,13,40,25,6
15,11,29,29,12
26,11,42,22,10
12,14,50,28,18
14,11,34,24,15
14,10,29,23,10
20,17,44,23,13
14,14,39,21,12
15,12,31,21,9
14,8,46,26,10
21,11,34,16,12
13,11,43,16,7
15,13,34,19,7
10,7,27,25,10
19,13,23,16,6
18,12,29,16,10
11,8,17,16,13
17,14,29,26,10
10,11,25,23,13
18,11,32,30,12
12,11,42,30,11
11,21,74,40,12
14,27,92,30,16
14,16,106,25,19
6,24,81,53,24
9,21,105,90,39
19,40,141,119,80
20,36,207,173,243
12,73,342,330,700
26,127,829,867,1468
30,303,2553,2428,2523
29,798,5979,8004,3300
36,2863,16533,24700,3412
46,9260,44523,47659,5015
76,17840,78711,32025,5885
125,18175,66802,8290,3857
222,11226,29796,2651,1531
547,5282,6149,2238,533
1330,2802,2632,2338,378
3593,2410,2470,2251,376
8225,2277,2375,2253,369
12696,2176,2381,2175,371
11259,2166,2547,2085,422
5985,1940,2472,2087,365
2613,1837,2340,2076,383
1456,1860,2242,2004,355
1244,1861,2216,2085,351
1225,1890,2284,2013,389
1170,1862,2329,1984,339
1181,1844,2301,1984,373
1173,1851,2325,2073,342
1156,1849,2236,2044,367
1124,1922,2349,2103,363
1101,1867,2251,2078,349
1196,1821,2219,2004,389
1131,1834,2299,2069,370
1218,1815,2246,2049,369
1167,1884,2110,2027,385
1212,1830,2324,2010,382
1200,1860,2263,2032,361
1177,1803,2275,2059,365
1158,1866,2138,2091,390
1130,1863,2288,2111,387
1183,1843,2228,2098,359
1170,1820,2259,2044,391
1219,1878,2225,2072,364
1151,1844,2232,2106,342
1168,1840,2366,2103,357
1195,1825,2193,2017,406
1192,1870,2197,2048,368
1093,1773,2233,2053,363
1147,1779,2209,2011,351
1130,1758,2272,2010,353
1145,1837,2262,2090,352
1229,1842,2233,2088,370
1196,1743,2261,2034,339
1174,1766,2259,2111,357
1235,1814,2231,2048,356
1140,1778,2232,2122,340
1135,1704,2220,2009,384
1154,1774,2218,2009,421
1186,1757,2159,2071,402
1181,1741,2185,2054,327
1198,1880,2259,1999,354
1181,1846,2206,2045,368
1181,1858,2232,2064,357
1208,1836,2250,2062,351
1177,1838,2129,2052,350
1161,1766,2311,2077,368
1207,1817,2150,1962,297
1173,1776,2255,2126,320
1162,1725,2127,2027,347
1189,1811,2157,2076,320
1173,1796,2325,1977,325
1188,1700,2222,2116,368
1191,1743,2195,2106,369
1214,1789,2213,2111,355
1137,1761,2188,2062,343
1227,1782,2189,2025,384
1194,1751,2232,1985,378
1255,1858,2190,2025,353
1174,1805,2234,2035,367
1195,1720,2165,2037,377
1120,1747,2309,2052,339
1148,1818,2311,2030,388
1167,1715,2221,1988,363
